,Organization,Capital Program,Program Subclass,Project Status,Project Title,Project Planning From,Project Planning To,Planned Construction From,Planned Construction To,Construction Completion From,Construction Completion To,Project Description,Project URL,SDE ID,GeoJSON,geo_point_2d,lat,lon,rect,start,end,duration,prior,prior_requests,during_requests
0,Transportation Services,Active Transportation,Sidewalk Rehabilitation,Project Complete,Stephen St Sidewalk Rehabilitation,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2019-01-01,2019-12-31,Stephen St Sidewalk Rehabilitation,,3397," -76.49204861904133, 44.242194394852525, -76.49204785143284, 44.24219785116557, -76.49204673785533, 44.24220125852886, -76.49204522944092, 44.242204588731305, -76.4920433369382, 44.24220781804267, -76.49204107383271, 44.24221092345162, -76.49203845625082, 44.24221388282972, -76.49203550284484, 44.242216675089125, -76.49203223466004, 44.24221928033283, -76.49202867498475, 44.242221679996476, -76.49202484918442, 44.24222385698061, -76.4920207845208, 44.242225795772534, -76.49201650995776, 44.24222748255687, -76.49201205595486, 44.242228905313986, -76.49200745425028, 44.24223005390563, -76.49200275502645, 44.24223098186692, -76.49011039782187, 44.24250119923088, -76.49010858351532, 44.242501293648445, -76.49010676658702, 44.24250128500207, -76.49010495919198, 44.24250116122166, -76.4901031753969, 44.24250092327057, -76.49010142908473, 44.24250057300073, -76.49009973384676, 44.24250011313824, -76.49009810287674, 44.24249954726214, -76.49009654886825, 44.24249887977654, -76.49009508391589, 44.24249811587639, -76.49009371942113, 44.242497261506976, -76.49009246600362, 44.24249632331773, -76.4900913334185, 44.24249530861043, -76.49009039824037, 44.242494195610924, ""type"": ""LineString""}","44.24236289429908,-76.49107653137473",44.24236289429908,-76.49107653137473,"Rectangle(xmin=-76.50552335391345, ymin=44.184450058011656, xmax=-76.47661566336825, ymax=44.300245630489314)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,1230
1,City Engineering,Road Rehabilitation,Local Repair / Preventative Maintenance,Project Complete,Mowat Ave Road Repair,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2019-01-01,2019-12-31,"Catch basin repair, drainage improvement and pave.",,5316," -76.51978712616973, 44.21849024136085, -76.51968659023946, 44.217479200627295, ""type"": ""LineString""}","44.21798472099407,-76.5197368582046",44.21798472099407,-76.5197368582046,"Rectangle(xmin=-76.53326186104185, ymin=44.15961812830626, xmax=-76.50621185536734, ymax=44.27635131368188)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,577
2,Utilities Kingston,Utilities Construction,Electrical,Project Complete,Electric - Pole Line Design - Bagot Street,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,Pole line design on Bagot St. from Barrack to Ordinance,,174," -76.48390292767102, 44.234613433332335, -76.48388453582965, 44.23378304605546, ""type"": ""LineString""}","44.234198239693896,-76.48389373175033",44.234198239693896,-76.48389373175033,"Rectangle(xmin=-76.49737766254314, ymin=44.17607289777649, xmax=-76.47040980095753, ymax=44.2923235816113)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
3,Utilities Kingston,Utilities Construction,Electrical,Project Complete,Electric - 5kV 204 Circuit Line Extension,,,2015-01-01,2015-12-31,2015-01-01,2015-12-31,Additional information to be provided by Utilities Kingston.,,55," -76.49575855274901, 44.23255890602945, -76.4968993000429, 44.232757393345885, -76.49758569920064, 44.232963733705155, ""type"": ""LineString""}","44.23273554026161,-76.496678220481",44.23273554026161,-76.496678220481,"Rectangle(xmin=-76.51106043407276, ymin=44.17479130551603, xmax=-76.48228381787689, ymax=44.29073133421858)",2015-01-01,2015-12-31,364 days 00:00:00.000000000,2014-01-01,0,0
4,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2018 Watermain Relining Project,2017-01-01,2017-12-31,2018-01-01,2018-12-31,,,"Watermain relining on Indian Rd, from Old Quarry Rd to the end (South of Glengarry)",,88," -76.5275737891102, 44.25153745318846, -76.52757915426159, 44.251669883418664, -76.52760302643263, 44.25225901360501, -76.52748377448344, 44.25233995223886, -76.52748438359757, 44.2523483844253, -76.52748540812155, 44.252448532041576, -76.52748756474824, 44.25254697644827, -76.52748810107511, 44.25255259706395, -76.52744836308933, 44.25257507430101, -76.52747826230525, 44.25334452994736, -76.5274801119342, 44.2534270503022, -76.52748899564547, 44.25382349111107, -76.52744030163278, 44.253929615439596, -76.52741941158084, 44.25398278936521, -76.5273711355636, 44.25411285880373, -76.52709043590113, 44.25471192083383, -76.52693117777706, 44.255053970838496, -76.5268501130645, 44.25522049227814, -76.52683681393167, 44.25524993168187, -76.52639672098069, 44.25574966950736, -76.52573658963729, 44.256499249482424, -76.52575810487771, 44.25697144211474, ""type"": ""LineString""}","44.254345480085554,-76.52695097969684",44.254345480085554,-76.52695097969684,"Rectangle(xmin=-76.54107776130475, ymin=44.19364340048883, xmax=-76.51226185476517, ymax=44.31486549481437)",2018-01-01,2018-12-31,364 days 00:00:00.000000000,2017-01-01,0,0
5,Utilities Kingston,Utilities Construction,Water,Project Complete,Cat Woods Watermain Interconnect,,,2015-01-01,2015-12-31,2015-01-01,2015-12-31,Additional information to be provided by Utilities Kingston.,,3089," -76.5572564773089, 44.26939363964838, -76.55644242404782, 44.269378112239764, -76.55561457388959, 44.26952164548411, -76.55464319772936, 44.26983368375738, -76.55416790419035, 44.26996027790369, ""type"": ""LineString""}","44.269576264420216,-76.55569763440401",44.269576264420216,-76.55569763440401,"Rectangle(xmin=-76.57073121218102, ymin=44.2113585798083, xmax=-76.54069316931823, ymax=44.32797981033516)",2015-01-01,2015-12-31,364 days 00:00:00.000000000,2014-01-01,0,0
6,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2019 Watermain Relining Program,2017-01-01,2017-12-31,2019-01-01,2019-12-31,,,Watermain Relining on Elizabeth Avenue from Avenue Road to Jane Avenue,https://utilitieskingston.com/Projects/Detail/WatermainReliningProgram,193," -76.52126669578074, 44.2468441341893, -76.52105528971991, 44.247086495359525, -76.52093484494678, 44.24717465633322, -76.520457219047, 44.247308980499646, -76.5198337479094, 44.2474466372589, -76.51942732544222, 44.24749802976448, -76.51892665589216, 44.247534578686036, ""type"": ""LineString""}","44.247326644962136,-76.52015717361512",44.247326644962136,-76.52015717361512,"Rectangle(xmin=-76.53474143065286, ymin=44.18897682156576, xmax=-76.50545192102004, ymax=44.30540189130958)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,625
7,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2019 Watermain Relining Program,2017-01-01,2017-12-31,2019-01-01,2019-12-31,,,"Watermain Relining on Jane Avenue, from Avenue Road to Kings Gate Place",https://utilitieskingston.com/Projects/Detail/WatermainReliningProgram,194," -76.52274928477303, 44.24816366534221, -76.52271437520031, 44.247712661295935, -76.52262792284583, 44.247519514126736, -76.52234017658967, 44.247355801796914, -76.52126669578074, 44.2468441341893, -76.52073727440198, 44.2465958607028, -76.52058769001798, 44.24656833503827, -76.51887702115438, 44.24661839355922, ""type"": ""LineString""}","44.24697740198738,-76.52107860952417",44.24697740198738,-76.52107860952417,"Rectangle(xmin=-76.53622401964515, ymin=44.188694767988515, xmax=-76.50540228628226, ymax=44.306037232391965)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,641
8,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,King St. Water Replacement - Barrie St.& West St.,2017-01-01,2017-12-31,2018-01-01,2018-12-31,,,Watermain Replacement,,173," -76.49007488818994, 44.22286546256547, -76.48960046842592, 44.22310567779672, -76.48937025945344, 44.22322216282285, -76.48918599073276, 44.22331540116922, -76.48917810005129, 44.223319494213705, -76.48917430238892, 44.22332146408475, -76.48912033801646, 44.223349456896536, -76.48830292075225, 44.22376575386037, -76.48826335611038, 44.22378590331254, -76.48818873243891, 44.22382390800565, -76.48731447933562, 44.22427119413723, -76.48731186133577, 44.22427253367457, -76.48726285717686, 44.22429760433817, -76.48725119281562, 44.224303839602726, -76.48723888234707, 44.22431041999425, -76.48720853543642, 44.224326640751066, -76.48622286470291, 44.224835905884326, ""type"": ""LineString""}","44.22384738544511,-76.4881471869857",44.22384738544511,-76.4881471869857,"Rectangle(xmin=-76.50354962306206, ymin=44.165129413563434, xmax=-76.47274812983079, ymax=44.282571954886365)",2018-01-01,2018-12-31,364 days 00:00:00.000000000,2017-01-01,0,0
9,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2018 Princess Street Water Reconstruction,,,2018-01-01,2018-12-31,,,Reconstruction of Princess Street including Barrie Street and Division Street.,https://www.cityofkingston.ca/city-hall/projects-construction,121," -76.48901605467522, 44.23258412850336, -76.49076467570835, 44.23285235048739, -76.49076467570835, 44.23285235048739, -76.49178196022474, 44.23300271440039, -76.49193478381537, 44.23303535302058, -76.49208322606727, 44.23307715770079, -76.49222622563065, 44.23312782954267, -76.49304040302349, 44.23345599195184, -76.49341035188165, 44.23489824371017, -76.49052769911857, 44.23372803023924, -76.49076467570835, 44.23285235048739, ""type"": ""MultiLineString""}","44.233264233820144,-76.4914911904649",44.233264233820144,-76.4914911904649,"Rectangle(xmin=-76.50688508675377, ymin=44.174834072220456, xmax=-76.4755413198031, ymax=44.292648299993076)",2018-01-01,2018-12-31,364 days 00:00:00.000000000,2017-01-01,0,0
10,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2017 Watermain Relining Project,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,"Watermain Relining on Wilson St, from Drenna St to 120 m south of Drennan St",https://utilitieskingston.com/Projects/Detail/WatermainReliningProgram,157," -76.48622260492151, 44.260778874649134, -76.48606561712401, 44.25972490881207, ""type"": ""LineString""}","44.260251891730604,-76.48614411102275",44.260251891730604,-76.48614411102275,"Rectangle(xmin=-76.49969733979363, ymin=44.20200502877812, xmax=-76.4725908822519, ymax=44.318498754683084)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
11,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2017 Watermain Relining Project,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,"Watermain Relining on Daly St, from Weller St to Drennan St",https://utilitieskingston.com/Projects/Detail/WatermainReliningProgram,95," -76.48162247604374, 44.26255294311656, -76.48205014127124, 44.26105193706279, ""type"": ""LineString""}","44.261802440089674,-76.48183630865749",44.261802440089674,-76.48183630865749,"Rectangle(xmin=-76.49552487614336, ymin=44.203349559364064, xmax=-76.46814774117162, ymax=44.320255320815285)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
12,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2015 Watermain Relining Project,,,2016-01-01,2016-12-31,,,"Watermain Relining on Point Cres, from Sunny Acres Rd to the end",http://www.utilitieskingston.com/Projects/Detail/WatermainReliningProgram,68," -76.56562885661894, 44.20950674517062, -76.56490356285751, 44.20927157017825, -76.56356775751439, 44.209602015680204, -76.56357116730379, 44.20963612758657, -76.56565022035709, 44.2095131217918, -76.56586871698758, 44.209575752495965, -76.56608344857662, 44.21069782043354, -76.56617494970492, 44.21117556007719, ""type"": ""MultiLineString""}","44.20981497248885,-76.56523309890072",44.20981497248885,-76.56523309890072,"Rectangle(xmin=-76.57964968457703, ymin=44.151214189373015, xmax=-76.55009302264227, ymax=44.269232940882425)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
13,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2018 Watermain Relining Project,2017-01-01,2017-12-31,2018-01-01,2018-12-31,,,"Watermain Relining on Gretna Green, entire length",,85," -76.52979449725693, 44.25143350440306, -76.52959112784526, 44.25144065149237, -76.5281155493346, 44.25149249742938, ""type"": ""LineString""}","44.251463001574656,-76.5289550233189",44.251463001574656,-76.5289550233189,"Rectangle(xmin=-76.54326923212905, ymin=44.193530197516054, xmax=-76.51464081446248, ymax=44.30939580431639)",2018-01-01,2018-12-31,364 days 00:00:00.000000000,2017-01-01,0,0
14,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2017 Watermain Relining Project,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,"Watermain Relining on Baker St, from Weller St to Drennan St",https://utilitieskingston.com/Projects/Detail/WatermainReliningProgram,94," -76.48350296580055, 44.262402136246436, -76.4834973808261, 44.262365678169736, -76.48332650104872, 44.26120925309662, -76.48329894982336, 44.2610692683407, -76.48328869178519, 44.260998168819285, ""type"": ""LineString""}","44.261699723268045,-76.48339829236765",44.261699723268045,-76.48339829236765,"Rectangle(xmin=-76.49697770067267, ymin=44.203289698161356, xmax=-76.46981395691307, ymax=44.320110606904365)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
15,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2016 Princess Street Water Reconstruction,,,2016-01-01,2016-12-31,,,"Reconstruction of Princess Street including Montreal Street, Sydenham and Clergy.",https://www.cityofkingston.ca/city-hall/projects-construction,110," -76.48418811390242, 44.231839308464764, -76.48555668943827, 44.23205340908891, -76.48555668943827, 44.23205340908891, -76.48583114748892, 44.23114691415437, -76.48555668943827, 44.23205340908891, -76.48727473722903, 44.2323169531998, -76.48727473722903, 44.2323169531998, -76.48901605467522, 44.23258412850336, -76.48878470484551, 44.23346062623965, -76.485292864657, 44.23292492312856, -76.48555668943827, 44.23205340908891, -76.48704022413985, 44.23319303939767, -76.48727473722903, 44.2323169531998, ""type"": ""MultiLineString""}","44.23231784319928,-76.48667850634703",44.23231784319928,-76.48667850634703,"Rectangle(xmin=-76.50249078954734, ymin=44.17341531026234, xmax=-76.4707133790303, ymax=44.29119223013168)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
16,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2019 Watermain Relining Project,,,2019-01-01,2019-12-31,,,"Watermain Relining on Bath Rd, Just West of Days Rd to 250m East of Gardiners Rd",http://www.utilitieskingston.com/Projects/Detail/WatermainReliningProgram,3082," -76.57194150835232, 44.23746365412648, -76.56430815324313, 44.237057151671756, ""type"": ""LineString""}","44.23726040289912,-76.56812483079773",44.23726040289912,-76.56812483079773,"Rectangle(xmin=-76.58541624322444, ymin=44.178975271594105, xmax=-76.55083341837101, ymax=44.29554553420413)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,546
17,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2017 Watermain Relining Project,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,"Watermain Relining on Wilson St, from Weller St to Drennan St",http://www.utilitieskingston.com/Projects/Detail/WatermainReliningProgram,80," -76.48643016751603, 44.26217786422621, -76.4864233772157, 44.26214022908083, -76.48642017919798, 44.2621186202592, -76.48624116088254, 44.260909180480745, -76.48622260492151, 44.260778874649134, ""type"": ""LineString""}","44.26147851166738,-76.4863254824059",44.26147851166738,-76.4863254824059,"Rectangle(xmin=-76.49990490238815, ymin=44.20305812366207, xmax=-76.47274787004939, ymax=44.319898615213276)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
18,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,Yonge & Forsythe Water Replacement,,,2015-01-01,2016-12-31,2016-01-01,2016-12-31,Reconstruction Project Yonge St and Forsythe,https://www.cityofkingston.ca/city-hall/projects-construction,120," -76.52066202916288, 44.2268720673336, -76.5181393697096, 44.22699926643546, -76.51848854081726, 44.23064088450378, -76.51813080985917, 44.22699650823987, -76.51805517969832, 44.22623135303574, -76.51786083763204, 44.22426712507671, -76.51765148179156, 44.222117117487336, -76.517602063762, 44.22137310517692, -76.51725560723888, 44.22139116872615, ""type"": ""MultiLineString""}","44.226068542090516,-76.51830020035273",44.226068542090516,-76.51830020035273,"Rectangle(xmin=-76.534136764035, ymin=44.1635083429911, xmax=-76.50378087236676, ymax=44.2885056466896)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
19,Transportation Services,Active Transportation,Bike Lane,Project Complete,Brock Buffered Bike Lanes - Adding Bollards,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2019-01-01,2019-12-31,Brock Buffered Bike Lanes,,2436," -76.49270174878028, 44.232153917753095, -76.49720675517503, 44.23282909609195, -76.49752367329167, 44.2328794519325, -76.50278522445298, 44.23273564354004, -76.51400034226025, 44.23226570680738, -76.51406974846948, 44.23226833482677, -76.51413794020154, 44.232277998585225, -76.51420354257985, 44.232294502040276, -76.51426523736843, 44.23231751425604, -76.51432178181545, 44.232346571853725, -76.51437204022214, 44.23238108939602, -76.51441499808061, 44.232420373603716, -76.51444979236936, 44.232463632856465, -76.51447572332755, 44.23250999684251, -76.51449226864071, 44.23255853257526, ""type"": ""LineString""}","44.23257349669985,-76.50363829380849",44.23257349669985,-76.50363829380849,"Rectangle(xmin=-76.52796700351283, ymin=44.17431516593464, xmax=-76.47922701390816, ymax=44.290718203750956)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,1682
20,Transportation Services,Active Transportation,Sidewalk Rehabilitation,Project Complete,Lochinvar Rd Sidewalk Rehabilitation,2019-01-01,2019-12-31,2019-01-01,2019-12-31,2019-01-01,2019-12-31,Lochinvar Rd Sidewalk Rehabilitation,,2782," -76.52306676794205, 44.254686813196756, -76.51996918742789, 44.25478810771076, ""type"": ""LineString""}","44.25473746045375,-76.52151797768497",44.25473746045375,-76.52151797768497,"Rectangle(xmin=-76.53654150281417, ymin=44.19681190663679, xmax=-76.50649445255577, ymax=44.312663014270726)",2019-01-01,2019-12-31,364 days 00:00:00.000000000,2018-01-01,0,620
22,Utilities Kingston,Utilties Rehabilitation,Gas,Project Complete,2017 Steel Gas Main Replacement,2016-01-01,2016-12-31,2017-01-01,2017-12-31,2017-01-01,2017-12-31,Steel Gas Main Replacement,http://www.utilitieskingston.com/Projects/Detail/GasMainReplacement,164," -76.51921190140801, 44.24041072261817, -76.51927948454855, 44.241986051416866, -76.51939439561927, 44.243615610144545, -76.51940188424274, 44.24366914070191, -76.5194067820403, 44.243722832668645, -76.51940909211295, 44.243776612178976, -76.5194087963705, 44.24383040925003, -76.519405907396, 44.243884177798925, -76.51940042309707, 44.24393783682598, -76.5193923656093, 44.243991322114795, -76.51938172356601, 44.24404458159847, -76.51936851761933, 44.24409754207694, -76.51935277368446, 44.24415014018336, -76.51933448762901, 44.24420231295039, -76.51931369788849, 44.24425399684429, -76.5192904368474, 44.2443051365144, -76.51926471896863, 44.24435566154317, -76.51923657914129, 44.24440551654632, -76.51920604080146, 44.24445463908943, -76.51917316510782, 44.24450297253827, -76.51910196806918, 44.24458241791081, ""type"": ""LineString""}","44.242531498079785,-76.51929940634972",44.242531498079785,-76.51929940634972,"Rectangle(xmin=-76.53288382698507, ymin=44.18255124448934, xmax=-76.50562723319706, ymax=44.302441896039646)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
23,Utilities Kingston,Utilties Rehabilitation,Gas,Project Complete,2017 Steel Gas Main Replacement,2017-01-01,2017-12-31,2017-01-01,2017-12-31,2017-01-01,2017-12-31,Steel Gas Main Replacement,http://www.utilitieskingston.com/Projects/Detail/GasMainReplacement,183," -76.51910196806918, 44.24458241791081, -76.52027695526156, 44.24513075047255, -76.52072871255746, 44.24534098084524, ""type"": ""LineString""}","44.24496187492178,-76.51991525850711",44.24496187492178,-76.51991525850711,"Rectangle(xmin=-76.53420344742958, ymin=44.18671737447086, xmax=-76.50562723319706, ymax=44.303206024285195)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
24,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2017 Watermain Relining Project,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,Watermain Relining on Weller on line (15m) running N-S between Wiley and Butler,https://utilitieskingston.com/Projects/Detail/WatermainReliningProgram,170," -76.48863355133557, 44.2620045829392, -76.48863451864108, 44.26201188527835, -76.48865337228958, 44.26214874280043, ""type"": ""LineString""}","44.262076665304846,-76.48864344379032",44.262076665304846,-76.48864344379032,"Rectangle(xmin=-76.5021281071617, ymin=44.20427450146939, xmax=-76.47515881646345, ymax=44.31987882427023)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
25,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2018 Watermain Relining Project,2017-01-01,2017-12-31,2018-01-01,2018-12-31,,,"Watermain Relining on Algonquin Terr, entire length",,92," -76.52859254240362, 44.25518982175544, -76.52858758367898, 44.2551476855788, -76.52855379567978, 44.254812204591445, -76.52858866795547, 44.25410456424522, ""type"": ""LineString""}","44.25464770238665,-76.52857179808166",44.25464770238665,-76.52857179808166,"Rectangle(xmin=-76.54206727727573, ymin=44.1962063333743, xmax=-76.51507906080766, ymax=44.313088052626355)",2018-01-01,2018-12-31,364 days 00:00:00.000000000,2017-01-01,0,0
26,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2017 Watermain Relining Project,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,"Watermain Relining on Drennan St, from Wiley St to Montreal St",http://www.utilitieskingston.com/Projects/Detail/WatermainReliningProgram,79," -76.48916230154539, 44.260541421843186, -76.48909701025426, 44.26054625608603, -76.48787801761705, 44.26064540850799, -76.48770929853866, 44.260659132959326, -76.48769332189545, 44.260660372818506, -76.48767563231016, 44.26066174572515, -76.48761274176682, 44.26066625975078, -76.48641132859883, 44.260764041255406, -76.48631993412943, 44.26077146438895, -76.48622260492151, 44.260778874649134, -76.48616047826366, 44.26078254065389, -76.48492946027523, 44.26087218394877, -76.48479522083498, 44.26088171053557, -76.48470594551027, 44.260889176850874, -76.48348762329664, 44.26098318607686, -76.48328869178519, 44.260998168819285, -76.48321013662404, 44.26100371213975, -76.48221022579888, 44.261081371943725, -76.48205014127124, 44.26105193706279, -76.48139641553897, 44.26092987643758, -76.48132873258062, 44.26091723990124, ""type"": ""LineString""}","44.26083564889694,-76.48524022009136",44.26083564889694,-76.48524022009136,"Rectangle(xmin=-76.50263703641751, ymin=44.20280920403118, xmax=-76.4678539977085, ymax=44.31881358975573)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
27,Utilities Kingston,Utilties Rehabilitation,Wastewater,Project Complete,Centennial Drive New Sanitary Wastewater Main,2016-01-01,2016-12-31,2017-01-01,2017-12-31,,,Resource Road from Centennial Drive to 130m east of Centennial Drive,,169," -76.55979752820163, 44.27704528864907, -76.55969535730253, 44.27704849544018, -76.55949236268962, 44.27705486604396, -76.55874180609958, 44.27705748344741, -76.55814986707725, 44.27705954437139, ""type"": ""LineString""}","44.277055885305046,-76.5589737580942",44.277055885305046,-76.5589737580942,"Rectangle(xmin=-76.57327226307375, ymin=44.21901497763128, xmax=-76.54467513220513, ymax=44.33508985538918)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
29,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2015 Watermain Relining Project,2015-01-01,2015-12-31,2016-01-01,2016-12-31,2016-01-01,2016-12-31,Watermain Relining Old Hillview Rd from Hillview Rd to the End,http://www.utilitieskingston.com/Projects/Detail/WatermainReliningProgram,65," -76.60171913233522, 44.24376042126592, -76.60171481863993, 44.243702124151675, -76.60170952890165, 44.243634582013584, -76.60170481210177, 44.243574352199666, -76.6017015582244, 44.24353281555796, -76.60164597614886, 44.243123559429996, -76.60143307340313, 44.24246371783971, -76.60118632439148, 44.24198780051978, -76.60107081969477, 44.241765017560155, ""type"": ""LineString""}","44.24273749949254,-76.601477370124",44.24273749949254,-76.601477370124,"Rectangle(xmin=-76.61519386720734, ymin=44.18355628782265, xmax=-76.58759608482265, ymax=44.301969151003426)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
30,Utilities Kingston,Utilties Rehabilitation,Water,Project Complete,2015 Watermain Relining Project,2015-01-01,2015-12-31,2016-01-01,2016-12-31,2016-01-01,2016-12-31,"Watermain Relining on Bernice Dr, from Roosevelt Dr to Carrie Cres (South Leg)",http://www.utilitieskingston.com/Projects/Detail/WatermainReliningProgram,62," -76.58114846418322, 44.231077838529444, -76.58118105237644, 44.23107638712187, -76.58231045856542, 44.231026085316934, -76.58255501050785, 44.23117118773497, -76.58261333155995, 44.2317658527453, -76.58275079665687, 44.233167479196425, -76.58275183269868, 44.23317805331787, -76.58275285556653, 44.233188509682, -76.58281928477409, 44.233865025720874, -76.5827962648565, 44.23398652930483, -76.5827100725339, 44.234230605170396, -76.58265694600561, 44.23438104667264, -76.58265321431628, 44.23439159953292, ""type"": ""LineString""}","44.232259569618144,-76.5824417353685",44.232259569618144,-76.5824417353685,"Rectangle(xmin=-76.59629401964621, ymin=44.17289793297792, xmax=-76.5676737293111, ymax=44.292519751871936)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
32,Utilities Kingston,Utilities Replacement,Water,Project Complete,Princess St. Water Main Replacement,2017-01-01,2017-12-31,2017-01-01,2017-12-31,2017-01-01,2017-12-31,Install 625m of 300mm water main from intersection of Sir John A/Princess to west of Bath/Concession. Intended to improve the reliability of the provision of potable water,,171," -76.5190537921857, 44.24464008030703, -76.5124234779046, 44.24157238076007, ""type"": ""LineString""}","44.24310623053355,-76.51573863504515",44.24310623053355,-76.51573863504515,"Rectangle(xmin=-76.53252852705782, ymin=44.18371440086988, xmax=-76.49894874303249, ymax=44.302498060197216)",2017-01-01,2017-12-31,364 days 00:00:00.000000000,2016-01-01,0,0
33,Utilities Kingston,Utilities Replacement,Gas,Project Complete,2016 Steel Gas Main Replacement,2016-01-01,2016-12-31,2016-01-01,2016-12-31,2016-01-01,2016-12-31,Steel Gas Main Replacement,,129," -76.51961725751522, 44.2588921009634, -76.52114373569735, 44.25884847201286, -76.52159962810553, 44.258841934488395, -76.52176751792152, 44.2588396957592, -76.52190448963992, 44.25883786879332, -76.52259639473634, 44.258828637556505, -76.52279441728044, 44.25882599468968, -76.52322413362145, 44.2588208206354, -76.52341470666967, 44.25881771426036, -76.52357828833868, 44.258815529433846, -76.52383618822647, 44.258812085957246, -76.52439071565159, 44.25880411495598, -76.52484665332985, 44.258798581200395, -76.52506424633225, 44.25879566679744, -76.5253264694742, 44.258792717709625, -76.52580824032921, 44.258786826987624, -76.52602506756092, 44.25878448367216, -76.52604463472075, 44.258784222217585, -76.52605637499322, 44.25878406444325, -76.52637142987196, 44.258780405199545, -76.52666771603288, 44.25877755866607, ""type"": ""LineString""}","44.258824270545595,-76.5231422782947",44.258824270545595,-76.5231422782947,"Rectangle(xmin=-76.540142450905, ymin=44.20088745468776, xmax=-76.5061425226431, ymax=44.31678220494171)",2016-01-01,2016-12-31,365 days 00:00:00.000000000,2015-01-01,0,0
34,Utilities Kingston,Utilties Rehabilitation,Wastewater,Project Complete,Ellerbeck Street Wastewater Reconstruction,,,2015-01-01,2015-12-31,2015-01-01,2015-12-31,Reconstruction of Ellerbeck Street,https://www.cityofkingston.ca/city-hall/projects-construction,106," -76.50849382934108, 44.22307362803977, -76.50722581681804, 44.223166638220846, -76.50722581681804, 44.223166638220846, -76.50706300688837, 44.221551202661985, -76.50743488968122, 44.22523225225768, -76.50722581681804, 44.223166638220846, ""type"": ""MultiLineString""}","44.2233222799639,-76.50740503936443",44.2233222799639,-76.50740503936443,"Rectangle(xmin=-76.5219685642132, ymin=44.163737715906755, xmax=-76.49358827201625, ymax=44.28304573901291)",2015-01-01,2015-12-31,364 days 00:00:00.000000000,2014-01-01,0,0
